category,product_name,mrp_inr,discount_pct,available_qty,selling_price_inr,weight_gms,out_of_stock,unit_qty,discount_amount,price_per_100g,stock_status,discount_tier
Cooking Essentials,Everest Kitchen King Masala,37.0,2,6,36.0,50,False,50,1.0,74.0,In Stock,Low (1-10%)
Cooking Essentials,Chef's Basket Durum Wheat Fusilli Pasta,160.0,50,6,80.0,500,False,500,80.0,32.0,In Stock,High (21%+)
Cooking Essentials,TilSona Til Oil,180.0,10,2,162.0,500,False,500,18.0,36.0,Low Stock,Low (1-10%)
Cooking Essentials,Top Ramen Chicken Noodles,60.0,10,1,54.0,280,False,280,6.0,21.428571428571427,Low Stock,Low (1-10%)
Cooking Essentials,Everest Chaat Masala,35.0,2,1,34.0,50,False,50,1.0,70.0,Low Stock,Low (1-10%)
Cooking Essentials,Keya Wonder Red Hot Chilli Flakes,89.0,10,2,80.0,40,False,40,9.0,222.5,Low Stock,Low (1-10%)
Cooking Essentials,Popular Essentials White Peas (Un-Polished),80.0,10,5,72.0,500,False,500,8.0,16.0,In Stock,Low (1-10%)
Cooking Essentials,Ching’s Secret Chowmein Hakka Noodles Masala,44.0,0,2,44.0,60,False,60,0.0,73.33333333333333,Low Stock,No Discount
Cooking Essentials,Dhara Filtered Groundnut Oil (Jar),1050.0,1,6,1035.0,5000,False,5,15.0,21.0,In Stock,Low (1-10%)
Cooking Essentials,Pillsbury Choco Chip Pancake Mix,99.0,5,6,94.0,165,False,165,5.0,60.0,In Stock,Low (1-10%)
Cooking Essentials,Hershey's Caramel Syrup,230.0,0,1,230.0,623,False,623,0.0,36.91813804173354,Low Stock,No Discount
Cooking Essentials,Pillsbury Multi Grain Atta,60.0,6,3,56.0,1000,False,1,4.0,6.0,In Stock,Low (1-10%)
